region,title,address,phone,score,open_time,comment1,comment2,comment3
南投縣,雲品酒店大廳酒吧,南投縣魚池鄉中正路23號,'0492212926',3.9,"{""星期一"": ""10:00–22:00"", ""星期二"": ""10:00–22:00"", ""星期三"": ""10:00–22:00"", ""星期四"": ""10:00–22:00"", ""星期五"": ""10:00–22:00"", ""星期六"": ""10:00–22:00"", ""星期日"": ""10:00–22:00""}","""服務很好，餐點絕佳，美食配美景=perfection👍讓人心情放鬆超讚""","""下午茶雙人套餐貴又難吃，吃完一整個心情差，甜點毫無特色，在地咖啡也普通。""","""喜歡覆盆子草莓塔跟野薑花鷹嘴豆沙拉，司康跟漂流木蛋糕太乾。"""
南投縣,雲品酒店大廳酒吧,南投縣魚池鄉中正路23號,'0492212926',3.9,"{""星期一"": ""10:00–22:00"", ""星期二"": ""10:00–22:00"", ""星期三"": ""10:00–22:00"", ""星期四"": ""10:00–22:00"", ""星期五"": ""10:00–22:00"", ""星期六"": ""10:00–22:00"", ""星期日"": ""10:00–22:00""}","""服務很好，餐點絕佳，美食配美景=perfection👍讓人心情放鬆超讚""","""下午茶雙人套餐貴又難吃，吃完一整個心情差，甜點毫無特色，在地咖啡也普通。""","""喜歡覆盆子草莓塔跟野薑花鷹嘴豆沙拉，司康跟漂流木蛋糕太乾。"""
南投縣,麥可酒吧MICHAEL BAR,南投縣南投市大同街148號,'0492238123',4.5,None,None,None,None
南投縣,蓮LienPUB,南投縣魚池鄉日月街2號,'0932955755',4.7,None,"""日月潭夜貓子的好去處，可以唱歌放鬆喝酒的地方，老闆娘皮膚好好喔💖漂亮又熱情🥰""","""很棒的地方，有人情味，客人不認識都能嗨在一起玩👍老闆娘很美","""機器很好唱！晚餐吃飽後過去輕鬆喝輕鬆唱歌，老闆娘的貓很可愛很親人"""
南投縣,蓮LienPUB,南投縣魚池鄉日月街2號,'0932955755',4.7,None,None,None,None
南投縣,P-13 Darts&Drink美食酒吧,南投縣南投市育樂一街29號,'0905319983',4.8,None,None,None,None
南投縣,Thủy Lợi,南投縣南投市平山二路38號,'0960115155',5.0,None,None,None,None
南投縣,Thủy Lợi,南投縣南投市平山二路38號,'0960115155',5.0,None,None,None,None
南投縣,埔樂啤酒莊園酒店 Probeer Manoir Hotel,None,None,4.7,None,None,None,None
南投縣,月光酒吧 Luna Lounge,南投縣魚池鄉水沙連街3號,'0968282038',5.0,None,None,None,None
