region,title,address,phone,score,open_time,comment1,comment2,comment3
南投,None,None,'',None,None,None,None,None
南投,承億文旅 潭日月,南投縣魚池鄉中正路58號,'0492855366',4.4,None,None,None,None
南投,今埔里渡假大酒店,南投縣埔里鎮南興街79號,'0492422088',4.1,None,"房間環境 · 3.6
房客喜歡這裡寬敞、乾淨的房間，但有些人覺得室內有些陳舊 · 浴室寬敞又乾淨","位置 · 4.1
靠近市中心；附近有購物區、觀光景點、餐廳和酒吧","服務與設施 · 4.4
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價，但有些人覺得管理方面有待改善"
南投,湖悦景觀旅店,南投縣魚池鄉義勇街113號,'0492850002',4.4,None,None,None,None
南投,埔里日記,南投縣埔里鎮中正路149-1號,'0928262185',4.8,None,"房間環境 · 4.2
房客喜歡這裡寬敞、乾淨的房間 · 房間有景觀","位置 · 2.5
設有停車場 · 附近有觀光景點","服務與設施 · 4.8
房客稱讚這裡的員工態度友善又專業 · 房客喜歡這間飯店的管理、接待服務和客房整理服務"
南投,上山聽潮民宿,南投縣魚池鄉水沙連街9號,'0492850229',4.5,None,"房間環境 · 3.7
房間有景觀 · 房客喜歡這裡寬敞的房間，但有些人覺得維護方面有待改善","位置 · 4.3
附近有購物區和觀光景點","服務與設施 · 4.0
房客稱讚這裡的員工態度友善 · 房客對於這裡的接待人員給予高度評價，但有些人覺得客房整理服務有待改善"
南投,日月潭湖景渡假旅店,南投縣魚池鄉德化街32號,'0492850589',4.1,None,"房間環境 · 3.2
房間有景觀 · 房客喜歡這裡乾淨的房間 · 有些房客提到這裡的浴室在清潔方面有待改善","位置 · 4.5
房客覺得停車場收費合理 · 附近有購物區和觀光景點","服務與設施 · 3.9
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理和接待服務給予高度評價"
南投,OWL Hostel 貓頭鷹旅店,南投縣魚池鄉文化街45號,'0911225763',4.8,None,"房間環境 · 3.9
房客喜歡這裡寬敞、乾淨的房間 · 房客喜歡這裡舒適的床舖 · 房間有景觀，並設有電視和簡易廚房","位置 · 4.2
附近有購物區、觀光景點、餐廳和酒吧 · 靠近大眾運輸站","服務與設施 · 4.5
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價"
南投,承萬尊爵渡假酒店,南投縣埔里鎮樹人路131號,'0492995757',4.9,None,None,None,None
南投,日月潭秘境民宿/可包棟/可烤肉,南投縣魚池鄉有水巷31之105號,'0989320988',4.8,None,None,None,None
南投,one house 私人住宅,南投縣魚池鄉文正巷25-8號,'0923868700',4.4,None,None,None,None
南投,亞締旅店,南投縣埔里鎮信義路701號,'0492985777',4.1,None,"房間環境 · 3.5
房客喜歡這裡乾淨的房間，但有些人覺得室內有些陳舊，維護方面也有待改善 · 房客喜歡這裡乾淨的浴室，但有些人覺得太小 · 房間有景觀","位置 · 4.3
附近有購物區、觀光景點、餐廳和酒吧 · 房客覺得停車場收費合理","服務與設施 · 4.5
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價，但有些人覺得客房整理服務有待改善"
南投,The Bal'e Villas 牛眠 埔里,南投縣埔里鎮內埔路18-5號,'0492990999',4.6,None,None,None,None
南投,翠峰農場 卡爾小鎮天文教育園區,南投縣仁愛鄉仁和路235號,'0909861988',4.3,None,None,None,None
南投,勺光188,南投縣魚池鄉中山路188號,'0909049466',4.8,None,"房間環境 · 4.1
房客喜歡這裡乾淨的房間 · 有些房客提到這裡的浴室有待改善",位置 · 4.5,"服務與設施 · 4.8
房客稱讚這裡的員工態度友善"
南投,日月潭布查德villa,南投縣魚池鄉嵩山巷17—18號,'0963517338',4.3,None,房間環境 · 2.1,位置 · 4.8,"服務與設施 · 4.8
房客稱讚這裡的員工態度友善"
