region,title,address,phone,score,open_time,comment1,comment2,comment3
南投縣,星月天空夜景景觀餐廳,南投縣南投市猴探井街146巷200號,'0492292999',4.4,"{""星期一"": ""16:15–00:00"", ""星期二"": ""16:15–00:00"", ""星期三"": ""16:15–00:00"", ""星期四"": ""16:15–00:00"", ""星期五"": ""16:15–00:00"", ""星期六"": ""10:15–00:00"", ""星期日"": ""10:15–00:00""}","""溜小孩的好去處，園區內有躺椅可以眺望彰化南投市區，坐著看風景很放鬆。""","""有雞豬鴨鵝魚狗羊馬草泥馬，狐獴老鷹鸚鵡大嘴鳥浣熊烏龜天竺鼠笑翠鳥。""","""點不錯吃，無論是火鍋，義大利麵，披薩，炸拼盤，咖啡，果汁，奶茶超推《忘記拍照》"""
南投縣,松濤園,南投縣南投市省府路78號,'0492372688',4.2,"{""星期一"": ""休息"", ""星期二"": ""11:30–14:00、17:30–20:30"", ""星期三"": ""11:30–14:00、17:30–20:30"", ""星期四"": ""11:30–14:00、17:30–20:30"", ""星期五"": ""11:30–14:00、17:30–20:30"", ""星期六"": ""11:30–14:00、17:30–20:30"", ""星期日"": ""11:30–14:00、17:30–20:30""}","""環境優、氣氛好，如置身花園童話世界中，拍照好景點，約會用餐也很棒！""","""餐點精緻又好吃 沙拉 冰自助式的想吃什麼加什麼 甜點店家自己做的 健康有衛生","""很好，裝潢精緻有品味，音樂也很放鬆，從餐廳裡面往外看庭園造景非常漂亮！"""
南投縣,清水主題餐廳,南投縣南投市民族路200號,'0492225188',4.0,"{""星期一"": ""11:00–15:00、17:00–21:30"", ""星期二"": ""11:00–15:00、17:00–21:30"", ""星期三"": ""11:00–15:00、17:00–21:30"", ""星期四"": ""11:00–15:00、17:00–21:30"", ""星期五"": ""11:00–15:00、17:00–21:30"", ""星期六"": ""11:00–21:30"", ""星期日"": ""11:00–21:30""}","""餐廳以簡餐為主～海鮮起士牛奶鍋香濃，環境不錯中價位，適合家人及三五好友聚會閒聊。""","""在南投市區 店員頗為親切 簡餐和排餐為主 餐飲並無特色 豬排乾澀 價格高了些!""","""餐廳的環境很乾淨，餐點也不錯，披薩料多實在，牛排的麵醬汁偏甜"""
南投縣,人本自然七彩神仙魚主題餐廳,南投縣草屯鎮大成街100號,'0492326338',4.2,"{""星期一"": ""11:00–15:00、17:00–22:00"", ""星期二"": ""11:00–15:00、17:00–22:00"", ""星期三"": ""11:00–15:00、17:00–22:00"", ""星期四"": ""11:00–15:00、17:00–22:00"", ""星期五"": ""11:00–15:00、17:00–22:00"", ""星期六"": ""11:00–15:30、17:00–22:00"", ""星期日"": ""11:00–15:30、17:00–22:00""}","""套餐中每道配菜都令人驚艷的好吃，主餐推薦鹹豬肉青醬燉飯和霜降牛肉！""","""一開始要的平面椅子 餐點方面屬較清淡的，覺得cp值不高，場地適合三五好友聚會","""這裡，菜有川菜。還有西餐。燒烤。火鍋。東西料理精緻。客人很多。要先預定。"""
南投縣,花珍饌景觀美食餐廳,南投縣草屯鎮太平路一段123巷127號,'0492393984',4.0,"{""星期一"": ""11:00–14:00、17:00–20:00"", ""星期二"": ""休息"", ""星期三"": ""11:00–14:00、17:00–20:00"", ""星期四"": ""11:00–14:00、17:00–20:00"", ""星期五"": ""11:00–14:00、17:00–20:00"", ""星期六"": ""11:00–14:00、17:00–20:00"", ""星期日"": ""11:00–14:00、17:00–20:00""}","""服務態度佳，餐點新鮮不死鹹，份量足~~連附的水果跟湯都新鮮用心""","""用餐氣氛！老闆娘、服務人員很親切！適合全家大小聚會！""","""環境優雅，服務親切，菜色可口，價格親民，值得推薦！"""
南投縣,樂涼園藝餐廳,南投縣南投市中興路663-8號,None,4.0,"{""星期一"": ""11:00–19:30"", ""星期二"": ""休息"", ""星期三"": ""休息"", ""星期四"": ""11:00–19:30"", ""星期五"": ""11:00–19:30"", ""星期六"": ""11:00–19:30"", ""星期日"": ""11:00–19:30""}","""員工旅遊的桌菜 8菜1湯1水果 寬闊的園區 南投市區老店 裝潢已有年代感""","""停車方便，空間大，桌間寬，餐點普通，冷氣微涼不算冷，戶外空間很大很適合小孩放電。""","""參加自然人文生態解說協會的活動~阿里山，回途晚餐餐廳。"""
南投縣,東星屋景觀餐廳,南投縣南投市鳳山路741號,'0492009898',4.5,"{""星期一"": ""休息"", ""星期二"": ""11:00–14:00、16:30–23:00"", ""星期三"": ""11:00–14:00、16:30–23:00"", ""星期四"": ""11:00–14:00、16:30–23:00"", ""星期五"": ""11:00–14:00、16:30–23:00"", ""星期六"": ""11:00–23:00"", ""星期日"": ""11:00–23:00""}","""淋飯超讚，海鮮湯頭料多湯鮮，適合慢慢吃邊享受夜景。套餐可加60變珍奶。""","""服務人員親切 環境安靜舒適 停車便利 新加坡肉骨茶火鍋湯頭很棒""","""風景好 環境佳 有室內室外空間 餐點還沒吃 無法評論"""
南投縣,天利食堂 南投民族店,南投縣南投市民族路110號,'0492245888',4.6,"{""星期一"": ""11:00–14:00、17:00–21:00"", ""星期二"": ""11:00–14:00、17:00–21:00"", ""星期三"": ""11:00–14:00、17:00–21:00"", ""星期四"": ""11:00–14:00、17:00–21:00"", ""星期五"": ""11:00–14:00、17:00–21:00"", ""星期六"": ""11:00–21:00"", ""星期日"": ""11:00–21:00""}","""好吃的套餐！最喜歡蒸蛋了～ 優點：環境舒適，小菜超級好吃！薯條和飲料也非常棒！""","""環境乾淨，肉和豆腐很嫩，炸豆腐外皮酥脆 份量對女生來說剛好，對男生可能略少一點""","""日式口味 地方寬 可來吃下午茶及正餐的好地方 只是停車要停遠一點 騎機車方便"""
南投縣,字村珍饌會館（外帶便當🍱、單點、定食、合席,南投縣南投市公園南街109號,'0492202038',4.5,"{""星期一"": ""09:30–14:00、17:00–21:00"", ""星期二"": ""09:30–14:00、17:00–21:00"", ""星期三"": ""09:30–14:00、17:00–21:00"", ""星期四"": ""09:30–14:00、17:00–21:00"", ""星期五"": ""09:30–14:00、17:00–21:00"", ""星期六"": ""09:30–14:00、17:00–21:00"", ""星期日"": ""09:30–14:00、17:00–21:00""}","""6000塊的年菜 菜單上寫手工點點心 原來是超市買的巧克力派：） 月亮蝦餅不錯""","""外帶會議便當，主食、配菜及湯品菜色豐富好吃😋，謝謝店家貼心搬上車！""","""超級棒的餐廳，氣氛好，環境舒適，東西好吃，服務好，超級推薦❤😊"""
南投縣,佐鹽,南投縣南投市建國路152號,'0492226378',4.5,"{""星期一"": ""休息"", ""星期二"": ""11:00–14:00、17:00–20:00"", ""星期三"": ""11:00–14:00、17:00–20:00"", ""星期四"": ""11:00–14:00、17:00–20:00"", ""星期五"": ""11:00–14:00、17:00–20:00"", ""星期六"": ""11:00–14:00、17:00–20:00"", ""星期日"": ""11:00–14:00、17:00–20:00""}","""不錯的小店！義大利麵、燉飯！好吃不貴！店內位子不多！旁邊路邊還算好停車！""","""難得在南投市區有整體質感都不錯的店，口味上走溫和路線，覺得還有研發空間😊""","""紅醬蛤蜊 醬麵分離，沒有入味 濃湯裡面的料豐富"""
南投縣,大吉利土雞城,南投縣南投市文化路43號,'0492205380',4.3,"{""星期一"": ""10:00–14:00、17:00–21:00"", ""星期二"": ""10:00–14:00、17:00–21:00"", ""星期三"": ""10:00–14:00、17:00–21:00"", ""星期四"": ""10:00–14:00、17:00–21:00"", ""星期五"": ""10:00–14:00、17:00–21:00"", ""星期六"": ""10:00–14:00、17:00–21:00"", ""星期日"": ""10:00–14:00、17:00–21:00""}","""放山雞肉和雞湯不錯 其他魚、螃蟹等海鮮類都有點腥味""","""經濟實惠 菜色美味可口 停車場方便停車 是親朋好友聚餐團體用膳的好地方","""炒飯有鍋香偏油，出菜快假日需訂位，蚵仔蛤蜊湯普通"""
南投縣,村上沐日,南投縣南投市向上路271號一樓,'0492351766',4.5,None,"""套餐比單點划算，東西好吃，樓上有毛巾商店、畫展，裝潢景色優美，附件好停車""","""在南投有這麼氣質的地方真棒~ 推薦羊排/板翼/蕈菇披薩","""干貝海鮮義大利麵好吃，樓上有展覽，環境不錯 但套餐飲料可以更大杯會更好"""
南投縣,土角厝水上庭園餐廳,南投縣埔里鎮水上巷2號,'0492912201',4.2,"{""星期一"": ""11:00–14:00、17:00–20:00"", ""星期二"": ""11:00–14:00、17:00–20:00"", ""星期三"": ""休息"", ""星期四"": ""11:00–14:00、17:00–20:00"", ""星期五"": ""11:00–14:00、17:00–20:00"", ""星期六"": ""11:00–14:00、17:00–20:00"", ""星期日"": ""11:00–14:00、17:00–20:00""}","""總統魚好吃 刺蔥豆腐特別 都有特色 景觀優美 美賣！""","""台菜料理好吃，適合闔家聚餐，上菜時間很順，好吃的料理，推薦","""氣氛很好，服務一流，環境清幽，路沒有想像中難開，停車場小，路邊很寬很好停車。"""
