region,title,address,phone,score,open_time,comment1,comment2,comment3
南投縣,鮮奶奶 - 飲品｜豆花｜剉冰（南投店）,南投縣南投市民族路351號,'0492236479',4.6,"{""星期一"": ""10:00–20:00"", ""星期二"": ""10:00–20:00"", ""星期三"": ""10:00–20:00"", ""星期四"": ""10:00–20:00"", ""星期五"": ""10:00–20:00"", ""星期六"": ""10:00–20:00"", ""星期日"": ""10:00–18:00""}","""珍珠口感剛好，鮮奶茶濃郁 廚房很乾淨 店員做完飲料就會馬上清潔臺面""","""第一次喝這家飲料店 點的是紅豆抹茶鮮奶 個人建議紅豆可以再軟爛點會更好""","""我只能說老闆很會包裝自己的產品，廣告打好打滿，跟網路拍的影片差太多了。"""
南投縣,微川飲料製造,南投縣南投市復興路273號,'0492206866',4.5,"{""星期一"": ""09:30–21:00"", ""星期二"": ""09:30–21:00"", ""星期三"": ""09:30–21:00"", ""星期四"": ""09:30–21:00"", ""星期五"": ""09:30–21:00"", ""星期六"": ""09:30–21:00"", ""星期日"": ""09:30–21:00""}","""一個禮拜至少會去買個兩三次 最常喝的是桂花青茶、甘蔗青、鹽之花可可+鮮奶布丁👍""","""紅茶拿鐵好好喝，雖然白玉珍珠什麼味道，謝謝老闆的回覆唷，下次我會繼續捧場的。""","""今天點了一杯甘蔗檸檬微糖微冰喝起來沒啥甘蔗味道反而像喝檸檬汁希望改進"""
南投縣,米克Q手感茶飲,南投縣南投市彰南路二段389號,'0492225658',4.3,"{""星期一"": ""10:30–22:00"", ""星期二"": ""10:00–22:00"", ""星期三"": ""10:00–22:00"", ""星期四"": ""10:00–22:00"", ""星期五"": ""10:00–22:00"", ""星期六"": ""10:00–22:00"", ""星期日"": ""10:00–22:00""}","""美食外送推薦的店家店員熱誠幽默給你們一個讚!""","""員工超美 飲料超好喝 永遠的口袋名單❤️""","""黑糖鮮奶珍珠超級好喝"""
南投縣,迷客夏Milksha 南投南投店,南投縣南投市民族路358號,'0492248079',3.7,"{""星期一"": ""10:00–21:00"", ""星期二"": ""10:00–21:00"", ""星期三"": ""10:00–21:00"", ""星期四"": ""10:00–21:00"", ""星期五"": ""10:00–21:00"", ""星期六"": ""10:00–22:00"", ""星期日"": ""10:00–21:00""}","""迷客夏的珍珠份量比別人多，而且品質穩定又好吃，那杯紅茶拿鐵好喝👍""","""煮的軟爛的芋頭跟新鮮的牛奶結合在一起口感順滑""","""員工對飲品了解知識待加強 很🦐 不然飲料其實好喝"""
南投縣,Mr.KUO-I 憨漫先生手作飲品（南投民族店）,南投縣南投市民族路183號,'0492233527',4.8,,"""新開幕的手搖飲料店，價廉物美""","""我好像花了55塊買了一杯早餐店30塊的鮮奶茶一樣 真的是一次店⋯超級普通""","""老闆人很好，飲料很好喝。"""
南投縣,台茶1號 南投中山店,南投縣南投市中山街242號,'0492241811',4.1,"{""星期一"": ""09:00–21:00"", ""星期二"": ""09:00–21:00"", ""星期三"": ""09:00–21:00"", ""星期四"": ""09:00–21:00"", ""星期五"": ""09:00–21:00"", ""星期六"": ""09:00–21:00"", ""星期日"": ""09:00–21:00""}","""出來倒在去冰那杯上（那少冰那杯不就少或額外加冰塊變淡了嗎） 整個感受很差==""","""鮮芋頭Q奶跟鮮奶三寶 好好喝!!!! 雖然，不是很便宜 不過，料多實在 好喜歡""","""提前訂很多杯飲料外送，很準時送達，飲料也都無誤，謝謝。"""
南投縣,貓頭鷹茶森林南投復興店,南投縣南投市復興路98之2號,'0492241700',4.5,"{""星期一"": ""09:30–21:30"", ""星期二"": ""09:30–21:30"", ""星期三"": ""09:30–21:30"", ""星期四"": ""09:30–21:30"", ""星期五"": ""09:30–21:30"", ""星期六"": ""09:30–21:30"", ""星期日"": ""09:30–21:30""}","""飲料做錯了還給我小禮物 非常感謝 貼心好店家","""感覺 布丁風味蒟蒻也是口感十足，但是單純想品茶的人還是最推薦純茶類！""","""茶好喝 店員態度很差 沒耐心建議不要來服務業上班"""
南投縣,咖司果南投彰南店,南投縣南投市彰南路二段582號,'0492250799',4.4,"{""星期一"": ""休息"", ""星期二"": ""09:00–20:00"", ""星期三"": ""09:00–20:00"", ""星期四"": ""09:00–20:00"", ""星期五"": ""09:00–20:00"", ""星期六"": ""09:00–20:00"", ""星期日"": ""09:00–20:00""}","""超推在地好店家 黑糖珍珠鮮奶超好喝""","""飲料超好喝 老闆娘又漂亮""","""紅茶真的很好喝 特推紅茶鮮奶 便宜品質又好"""
南投縣,日月潭紅茶,南投縣南投市光華十路6-1號,,4.0,"{""星期一"": ""10:00–18:00"", ""星期二"": ""10:00–18:00"", ""星期三"": ""10:00–18:00"", ""星期四"": ""10:00–18:00"", ""星期五"": ""10:00–18:00"", ""星期六"": ""10:00–18:00"", ""星期日"": ""10:00–18:00""}","""這家飲料用料實在 而且老闆人很好 重點是價格便宜""","""店家服務態度超級好，非常的親切❤️ 飲品好喝又很便宜！！！""","""價格親切相當便宜隔壁還有蕃薯球可以搭配來吃放學買來吃是非常不錯的選擇"""
南投縣,老賴茶棧南投店,南投縣南投市育樂路115號,'0492227678',4.4,"{""星期一"": ""10:00–16:00"", ""星期二"": ""10:00–20:00"", ""星期三"": ""10:00–20:00"", ""星期四"": ""10:00–20:00"", ""星期五"": ""10:00–20:00"", ""星期六"": ""10:00–20:00"", ""星期日"": ""10:00–20:00""}","""店面很大很好找，停車方便，店員很多手腳快速""","""紅茶好喝，服務人員...不要板著臉會更好""","""服務態度很好，飲料很好喝👍"""
