region,title,address,phone,score,open_time,comment1,comment2,comment3
南投縣,阿珠扣仔嗲,南投縣南投市民族路465巷2號,'0492230361',3.9,"{""星期一"": """"休息"""", ""星期二"": """"11:00–20:00"""", ""星期三"": """"11:00–20:00"""", ""星期四"": """"11:00–20:00"""", ""星期五"": """"11:00–20:00"""", ""星期六"": """"11:00–20:00"""", ""星期日"": """"11:00–20:00""""}","""口感外酥內軟有特色的大蒜 圓菜 炸物及泡菜 蘿蔔豆腐湯好吃""","""用餐地方變乾淨了也加大空間，蚵仔喋古早味令人回味，炸大蒜必點，炸地瓜穌脆！""","""從小吃到大的道地美食！外皮酥脆丶物美價廉。"""
南投縣,蘇媽媽湯圓,南投縣埔里鎮中山路三段118號,'0492988915',4.1,"{""星期一"": """"11:00–20:00"""", ""星期二"": """"11:00–20:00"""", ""星期三"": """"休息"""", ""星期四"": """"11:00–20:00"""", ""星期五"": """"11:00–20:00"""", ""星期六"": """"11:00–20:00"""", ""星期日"": """"11:00–20:00""""}","""強力推薦他們的鮮肉湯圓、肉燥麵、埔里米粉、滷豆腐、芝麻花生湯圓。""","""肉燥飯必點，香氣足夠 湯圓推薦芋頭跟紅豆口味，內餡飽滿不膩 店家很有人情味👍""","""鹹湯圓湯頭不錯，假日人多，車子也不好停，店內位置不多，建議平日到訪"""
南投縣,榕樹下扣仔嗲,南投縣草屯鎮玉峰街92號,'0937432391',4.0,"{""星期一"": """"08:30–19:30"""", ""星期二"": """"08:30–19:30"""", ""星期三"": """"08:30–19:30"""", ""星期四"": """"08:30–19:30"""", ""星期五"": """"08:30–19:30"""", ""星期六"": """"08:30–20:00"""", ""星期日"": """"08:30–20:00""""}","""推薦秋葵蘿蔔糕跟蚵爹，還有湯裡面的豬血豆腐白蘿蔔一定要吃，非常好吃。""","""蚵嗲、肉嗲、炸豆腐、炸韭菜捲、豬血湯 ... 老招牌、巷弄銅板美食，歡樂下午茶！""","""看網路介紹來試試~ 一到時，就看到老闆娘在駡員工 和員工爭論為何只洗鍋子不洗碗？"""
南投縣,阿連扣仔嗲,南投縣南投市彰南路二段202號,'0492206665',3.9,"{""星期一"": """"休息"""", ""星期二"": """"休息"""", ""星期三"": """"休息"""", ""星期四"": """"休息"""", ""星期五"": """"11:20–19:00"""", ""星期六"": """"11:20–19:00"""", ""星期日"": """"11:20–19:00""""}","""南投著名老字號小吃，蚵爹，米糕，炸韭菜卷及豆腐湯都是必點.""","""扣仔嗲外皮酥薄很有特色，可惜內餡蚵仔太少口味太淡。""","""蚵嗲還有蝦嗲, 炸豆腐不錯吃。不過附近真的不好停車，騎機車倒還好。"""
南投縣,橋頭邊肉圓,南投縣南投市三和三路51號,'0492205538',4.0,"{""星期一"": """"10:30–21:30"""", ""星期二"": """"10:30–21:30"""", ""星期三"": """"10:30–21:30"""", ""星期四"": """"10:30–21:30"""", ""星期五"": """"10:30–21:30"""", ""星期六"": """"10:30–21:30"""", ""星期日"": """"10:30–21:30""""}","""店內通風寬闊，點餐上菜快速 肉圓好吃Q彈，貢丸豆腐湯味道也很好，會想再訪的店家","""有肉圓、炒麵、綜合湯等美食，中晚餐皆可，可內用及外帶，附近有公用停車場。""","""麵加肉燥的食物真的只能靠肉燥來突顯價值，真的沒什麼特色。桌子很黏膩……"""
南投縣,阿財意麵,南投縣南投市民族路368號,'0921707785',4.1,"{""星期一"": """"17:00–00:00"""", ""星期二"": """"17:00–00:00"""", ""星期三"": """"17:00–00:00"""", ""星期四"": """"17:00–00:00"""", ""星期五"": """"17:00–00:00"""", ""星期六"": """"17:00–00:00"""", ""星期日"": """"17:00–00:00""""}","""意麵醬汁較其他間黏稠 餛飩口味偏鹹 小菜量少但做得很精緻""","""意麵魯肉飯都很好吃，肉丸湯非常讚，丸子裡本身還有肉塊！可惜平日中午沒營業。""","""炒豬肝是特色 其他意麵還不錯吃，有在地風味 Cp還不錯，地方小吃環境算可以的了"""
南投縣,天香小吃部,南投縣南投市民族路71號,'0492206698',4.4,"{""星期一"": """"11:00–19:00"""", ""星期二"": """"11:00–19:00"""", ""星期三"": """"11:00–19:00"""", ""星期四"": """"11:00–19:00"""", ""星期五"": """"11:00–19:00"""", ""星期六"": """"11:00–19:00"""", ""星期日"": """"休息""""}","""認為是全台灣最好吃的米糕 老闆很用心~ 食材也很實在 只願客人吃飽開心""","""黃麵的肉燥有傳統味。不油膩且香。芋頭排骨湯有濃濃芋香。值得來嚐嚐""","""米糕、乾麵無論搭配哪種湯類都合適，建議可加上些許獨製辣醬提味"""
南投縣,明記小吃部,南投縣南投市大同街125號,'0492224595',3.9,"{""星期一"": """"10:00–20:00"""", ""星期二"": """"10:00–20:00"""", ""星期三"": """"10:00–20:00"""", ""星期四"": """"10:00–20:00"""", ""星期五"": """"10:00–20:00"""", ""星期六"": """"10:00–20:00"""", ""星期日"": """"10:00–20:00""""}","""願意給他機會再試試咖喱跟沙茶口味的炒飯及控肉飯😅但環境的確稱不上衛生裡面還很暗😅""","""環境髒亂，蒼蠅亂飛，麵賣完了什麼都不說讓客人坐在那裡慢慢等""","""外帶一份什錦湯麵，讚嘆一下，海鮮蠻新鮮的，湯頭也很棒"
南投縣,包葉扣仔嗲,南投縣南投市南營路717號,'0492329011',4.1,"{""星期一"": """"休息"""", ""星期二"": """"10:00–18:00"""", ""星期三"": """"10:00–18:00"""", ""星期四"": """"10:00–18:00"""", ""星期五"": """"10:00–18:00"""", ""星期六"": """"10:00–18:00"""", ""星期日"": """"10:00–18:00""""}","""東西便宜，豆腐菜頭湯滿滿的料才10元，超佛心！不過只有老闆娘一個人忙，要等比較久","""但停車方面最好是停在後面的“堤防道路”在走進來，才不會造成交通問題！！""","""由照片中可看得出，食材是新鮮的，包裹著韭菜與蚵仔。"""
南投縣,吉祥小吃,南投縣南投市南新路283-285號號,'0492325261',4.3,"{""星期一"": """"05:00–20:00"""", ""星期二"": """"05:00–20:00"""", ""星期三"": """"05:00–20:00"""", ""星期四"": """"05:00–20:00"""", ""星期五"": """"05:00–20:00"""", ""星期六"": """"05:00–20:00"""", ""星期日"": """"休息""""}","""道地的家鄉菜，很有鄉土味只是上菜速度慢，兩桌客人就忙不完""","""當然，蝦仁炒飯、高麗菜和炸南瓜酥也都很好吃。""","""平價又好吃，老闆曾在北部餐廳工作，回鄉開業，有北部熱炒店水準👍😋❤️"""
南投縣,老何麵担,南投縣南投市公所街54號,'0492226272',4.1,"{""星期一"": """"11:00–13:30, 16:30–20:30"""", ""星期二"": """"11:00–13:30, 16:30–20:30"""", ""星期三"": """"休息"""", ""星期四"": """"11:00–13:30, 16:30–20:30"""", ""星期五"": """"11:00–13:30, 16:30–20:30"""", ""星期六"": """"11:00–13:30, 16:30–20:30"""", ""星期日"": """"11:00–13:30, 16:30–20:30""""}","""南投意麵 麵條不會軟爛 和台南意麵口感不一樣 但乾麵滷肉飯都味道偏淡 加辣才好吃""","""評價：機車好停車。切料滷味份量真的很多，擺盤又漂亮，看得就療癒。""","""裝潢過已煥然一新，小菜，肉丸子，魯鴨蛋，湯麵。不錯吃"""
南投縣,阿正扣仔嗲,南投縣南投市千秋路301號號,'0955174225',4.6,"{""星期一"": """"休息"""", ""星期二"": """"10:30–13:00, 15:00–18:00"""", ""星期三"": """"10:30–13:00, 15:00–18:00"""", ""星期四"": """"10:30–13:00, 15:00–18:00"""", ""星期五"": """"10:30–13:00, 15:00–18:00"""", ""星期六"": """"10:30–18:00"""", ""星期日"": """"10:30–18:00""""}","""口味獨特，芋頭簽好味道。大甲來的芋頭哦！可惜蚵嗲肉嗲蚵仔酥漲5元了。""","""老闆用手直接拿食材&煮好的食物，環境衛生看起來也不太好😲""","""蚵嗲、豆腐、菜嗲(只有韭菜)、地瓜、韭菜卷、蒜卷都好吃。"""
