region,title,address,phone,score,open_time,comment1,comment2,comment3
基隆市,潮境公園,'0224696000',基隆市中正區北寧路369巷61號,4.4,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""很棒的草地大活動空間，也有相關海洋生態展覽，男廁所馬桶水壓過強地板淹水要修""","""溜小孩，情侶約會好地方，開車收費貴，海景棒，海風涼，內有小攤販賣賣吃的喝的跟風箏","""餐飲部份，有多家餐廳在附近，有火鍋、海鮮類、合菜、義式批薩、義大利麵、燉飯等。"""
基隆市,基隆八斗子潮境公園,,基隆市中正區北寧路369巷50-45號,4.4,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""好山好水，交通便利，附近景點多，全家出遊親子好地方。""","""水漾芭里的麻油雞鍋好吃，店內單價因為是風景區，價位頗高。""","""超級美 魚兒就在身邊 戶外簡單沖洗 旁邊有廁所但沒有淋浴間"""
基隆市,海洋廣場,,基隆市仁愛區忠一路,4.2,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""基隆市門户出高速公路下車終點站廣場是市民散步•小孩遊樂•奔跑好場地•欣賞海港風景","""風景優美，只是部分整修中，應該增加四層樓，可以增加餐廳美食區及停車場及住宿旅館。""","""傍晚逛完廟口夜市可以提東西過來吃，位置很多，晚上海風蠻舒適的，夜景也很美。"""
基隆市,和平島公園海水泳池,'0224635452',基隆市中正區,,"{'星期一': '08:00–18:00', '星期二': '08:00–18:00', '星期三': '08:00–18:00.', '星期四': '08:00–18:00', '星期五': '08:00–18:00', '星期六': '08:00–18:00', '星期日': '08:00–18:00'}",,,
基隆市,二沙灣砲臺,'0224287664',基隆市中正區壽山路,4.1,"{'星期一': '09:00–17:00', '星期二': '09:00–17:00', '星期三': '09:00–17:00.', '星期四': '09:00–17:00', '星期五': '09:00–17:00', '星期六': '09:00–17:00', '星期日': '09:00–17:00'}","""除了看到歷史事件所留下的建築外,可以遠眺基隆港風景的好地方呢～""","""整修後希望可以多設置一些解說牌，講解園區內的古蹟和功能","""好天氣時來時，步道很好走，上下的階梯不多，逛完可順遊附近的中正公園、基隆廟口。"""
基隆市,海門天險,,基隆市中正區壽山路,4.1,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""台灣少見完整的城門，砲台的視野也很棒，缺點是車位太少，要走一段路。""","""沒有吵雜，看歷史，看港區，看山看景的好地方。""","""其實不錯 讓我想到金門的砲車展覽 只是這裡數量較少 中正路有個步道爬些階梯抵達"""
基隆市,基隆市 二沙灣砲台 北砲台,'0224223305',基隆市中正區中正路,4.4,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""視野佳，可觀賞基隆港貨櫃吊掛 周邊步道有維護""","""輕鬆好走 野外很黑 風景很美","""超棒的視野，俯瞰整個基隆港，還抓到千載難逢的景象。"""
基隆市,基隆市 二沙灣砲台 東砲台,'0224223305',基隆市中正區中正路,4.1,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""天氣好！空氣棒！多走動的好地方！""","""海門天險整修中，目前封閉""","""二沙灣東炮台一樣是清代控制基隆港東側的一個重要炮台，主要還是船艦進出的海防陣地。"""
基隆市,碧砂漁港,,,3.4,,,,
基隆市,碧砂休閒公園,,基隆市中正區環港街4-3號,3.7,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""小公園 抓寶的好地方 VIP道館","""清幽 本想喝杯咖啡可惜均休業中","""環境簡單，但是停車方便，且旁邊假日有夜市唷！"""
基隆市,碧砂港小吃店,'0224697395',基隆市中正區北寧路252巷6-11號,,,,,
基隆市,中正公園,'0224287664',基隆市中正區壽山路,4.1,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""拜拜，敲鐘，旁邊有香腸，花生冰淇淋，咖啡，小朋友玩的車車，沙畫，彈珠台等等""","""居高臨下，視野很好。可以府視基隆港和基隆的夜景。鄰近廟口夜市，順道品嘗夜市美食。""",
基隆市,望幽谷,'0224696000',基隆市中正區,4.5,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""漁港、海景、山景及基隆嶼。海岸邊有海蝕平臺豆腐岩等許多奇特自然地質景觀。""","""基隆火車站時，建議走到85附近搭103公車，班次較多;也可順路到廟口夜市吃美食","""視野很美，路徑步道好行，是放鬆心情輕旅行的好地方!《惟停車不便、易塞車》"""
基隆市,望幽谷濱海步道,,基隆市中正區,4.6,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""無敵海景，景色優美 忘憂谷走汽車道，到海科館，步行到八斗子轉公車到基隆火車站","""吹吹海風 聽海浪聲看風景的好地方 有兩個地方停車 下面的免費 上面收費""","""基隆親子散步好去處! 可以眺望海邊，視野非常好，也可以在峽谷的草地坐著聊天。"""
基隆市,外木山情人湖濱海大道,,基隆市中山區湖海路一段,4.4,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""景色優美，日出晚霞，澎湃海浪🌊，路邊的藝人表演，醇香咖啡，是基隆迷人的地方","""適合全家大小親朋好友一起散步曬太陽欣賞海景夕陽好去處。""","""距離台北市不算太遠的海岸風景~ 看完還可以去基隆夜市~"""
基隆市,基隆嶼,,基隆市中正區,4.6,,,,
基隆市,大武崙砲台,,基隆市安樂區,4.2,"{'星期一': '09:00–17:00', '星期二': '09:00–17:00', '星期三': '09:00–17:00.', '星期四': '09:00–17:00', '星期五': '09:00–17:00', '星期六': '09:00–17:00', '星期日': '09:00–17:00'}","""可與情人湖風景區相連的古蹟景點。有景觀停車場。""","""二級古蹟，經市政府整修，環境變得亁淨，免門票，免停車賞，有時候還有專人導覽，""","""歷史文物，要走一圈才可看完，它的停車場區是看星星 看夜景的好地方"
基隆市,情人湖公園,,基隆市安樂區基金一路208巷底大武崙山山腰,4.2,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""基隆市的室外桃源，寧靜鬆懈好地方，環湖景色氛圍很清新，也可登塔看北海岸，真好。""","""免費的風景區維護狀況良好很棒的郊山步道路線""","""是情侶或全家同遊的親子樂園好去處，休閒幽雅清境，有情侶愛走的情人橋。"""
基隆市,獅球嶺砲臺,,基隆市仁愛區獅球路,4.1,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""基隆港全區景色盡收眼底，是攝影愛好者基隆港夜景必拍景點之一。""","""歷史建築，可以和週邊步道及隧道證合成半天行程，適合一般民眾選擇""","""天氣超好 基隆市景一覽無遺 是除了地標和中正公園另一個看美景的好地方"
基隆市,獅球嶺東砲台,,基隆市仁愛區,4.4,"{'星期一': '24 小時營業', '星期二': '24 小時營業', '星期三': '24 小時營業.', '星期四': '24 小時營業', '星期五': '24 小時營業', '星期六': '24 小時營業', '星期日': '24 小時營業'}","""台版吳哥窟，可展望基隆港及紅淡山。""","""展望讚，碉堡美，蚊子多....""","""上面沒有人，路小小條有點難走，砲臺看起來滿滿歷史，基隆ㄧ日遊可以來看看～"""
